No,Academy Ruangguru,Name,Address,,Unique Name,First Name,End Name,Tutor,Latitude,Longitude,Geocoding Status
61,Brain Academy,Padang - S. Parman,"Jl. S. Parman No.145, Ulak Karang Selatan Kota Padang. Sumatera Barat 25134",,BAC S. Parman,Padang,S. Parman,,-0.9154164,100.3499964,SUCCESS
62,Brain Academy,Banjarmasin - Gatot Subroto,"Jl. Gatot Subroto No.17, Kebun Bunga, Kota Banjarmasin, Kalimantan Selatan 70237",,BAC Gatot Subroto,Banjarmasin,Gatot Subroto,,-3.325298,114.6173662,SUCCESS
63,Brain Academy,Manado - Wenang Selatan,"Jl. Sam Ratulangi No.88, Kec. Wenang, 95111",,BAC Wenang Selatan,Manado,Wenang Selatan,,1.481366,124.8365651,SUCCESS
64,Brain Academy,Pontianak - MT Haryono,"Jalan MT Haryono No.27, Akcaya, Kecamatan Pontianak Selatan, Kota Pontianak, Kalimantan Barat 78113",,BAC MT Haryono,Pontianak,MT Haryono,,-0.0467253,109.3333087,SUCCESS
65,Brain Academy,Banda Aceh - Teuku Nyak Arief,"Jl. Teuku Nyak Arief No.1-2, Desa Lamgugob, Kecamatan Syiah Kuala, Provinsi Aceh, 23115",,BAC Teuku Nyak Arief,Banda Aceh,Teuku Nyak Arief,,5.5710647,95.3584946,SUCCESS
66,Brain Academy,Pekanbaru - Mustika,Jl. Mustika No.45. Sumahilang. Kec. Pekanbaru Kota. Kota Pekanbaru. Riau 28156,,BAC Mustika,Pekanbaru,Mustika,,0.5211191,101.4501499,SUCCESS
67,Brain Academy,Pekanbaru - Soekarno Hatta,"Jl. Soekarno Hatta, no.31-32, kel. Labuh Baru Barat, Kec. Payung Sekaki, Kota Pekanbaru, Riau. 28292",,BAC Soekarno Hatta,Pekanbaru,Soekarno Hatta,,0.5158423999999999,101.4192778,SUCCESS
68,Brain Academy,Bandar Lampung - Sumur Batu,"Jl. Diponegoro No.129, Sumur Batu, Kec. Teluk. Betung Utara, 35212",,BAC Sumur Batu,Bandar Lampung,Sumur Batu,,-5.4372438,105.2653721,SUCCESS
69,Brain Academy,Pematangsiantar - Sutomo,"Jl. Sutomo NO 8 K-LProklamasi, Kec. Siantar Barat, Kota Pematang Siantar, Sumatera Utara 21144",,BAC Sutomo,Pematangsiantar,Sutomo,,2.9550633,99.06222299999999,SUCCESS
70,Brain Academy,Balikpapan - Sungai Ampal,"Jl. Sungai Ampal No.114 Kecamatan Balikpapan Tengah, Kelurahan Sumber Rejo, Kota Balikpapan, Provinsi Kalimantan Timur, 76114",,BAC Sungai Ampal,Balikpapan,Sungai Ampal,,-1.2470574,116.8537584,SUCCESS
71,Brain Academy,Tangerang - Citra Raya,"Ruko green sevila Blok V.01 Nomor 255-257, Ciakar, Kec. Panongan, Kabupaten Tangerang, Banten 15711",,BAC Citra Raya,Tangerang,Citra Raya,,-6.320635299999999,106.4205891,SUCCESS
72,Brain Academy,Madiun - Sutomo,"Jl. Dr. Sutomo No.9, Madiun Lor, Kec. Manguharjo, Kota Madiun, Jawa Timur 63122",,BAC Sutomo,Madiun,Sutomo,,-7.6202388,111.5245248,SUCCESS
73,Brain Academy,Bekasi - Galaxy,"Jl. Pulo Ribung 1-6, RT.001/RW.019, Jaka Setia, Kec. Bekasi Sel., Kota Bks, Jawa Barat 17147",,BAC Galaxy,Bekasi,Galaxy,"Mayranda Amin
Samantha Meliora
Rendy Kurniawan",-6.2669276,106.971831,SUCCESS
74,Brain Academy,Sumedang - Prabu Geusan Ulun,"Jl. Prabu Geusan Ulun No.111, Regol Wetan, Kec. Sumedang Sel., Kabupaten Sumedang, Jawa Barat 45311",,BAC Prabu Geusan Ulun,Sumedang,Prabu Geusan Ulun,,-6.852543799999999,107.9225148,SUCCESS
75,Brain Academy,Mojokerto - Jayanegara,"Jl. Jayanegara, Kel. Banjaragung, Kec. Puri, Kabupaten Mojokerto, Jawa Timur 61363",,BAC Jayanegara,Mojokerto,Jayanegara,,-7.4859165,112.4397994,SUCCESS
76,Brain Academy,Manado - Sario,Jl. R.W. Mongisidi 19D. Kecamatan Sario Tumpaan Kecamatan Sario Kota Manado. Propinsi Sulawesi Utara. 95114,,BAC Sario,Manado,Sario,,1.463629,124.8295146,SUCCESS
77,Brain Academy,Jakarta Barat - Kebon Jeruk,"Jl. Lapangan Bola No.6, RT.7/RW.1, Kb. Jeruk, Kec. Kb. Jeruk, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11530",,BAC Kebon Jeruk,Jakarta Barat,Kebon Jeruk,"Dian Marhamah
Gabriella Clarissa
Mega Mariesta
Syifa Syauqina
Desylionie Onggani Winata
Vira Aulia
WIdi Alya Zhafira",-6.1972628,106.7662703,SUCCESS
78,Brain Academy,Jakarta Utara - Sunter,"Jl. Danau Sunter Utara blok D1 no 9C, Kelurahan Sunter, Kecamatan Tanjung Priok. Jakarta Utara 14350",,BAC Sunter,Jakarta Utara,Sunter,Samantha Meliora,-6.1383433,106.8648169,SUCCESS
79,Brain Academy,Jambi - Sipin,"Jl. Kapten Pattimura no. 47 rt. 01 Kec. Kota Baru, Kota Jambi, Jambi 36361",,BAC Sipin,Jambi,Sipin,,-1.6209028,103.5858595,SUCCESS
80,Brain Academy,Toraja Utara - Poros Bolu,"Jl. Poros Bolu - Rantepao (Samping SPBU Pasar Bolu), Tallunglipu Matalo, Tallunglipu, Kabupaten Toraja Utara, Sulawesi Selatan 91832, Indonesia",,BAC Poros Bolu,Toraja Utara,Poros Bolu,,-2.959364,119.9135181,SUCCESS
81,Brain Academy,Bogor - Kota Wisata,"Ruko Madison SHC2/19 Kota Wisata Cibubur, kec Gunung Putri, Kab Bogor, Jawa Barat 16967",,BAC Kota Wisata,Bogor,Kota Wisata,"Adzkia Kurnia Khairunnisa
Rendy Kurniawan
Daffa Ilhamnur Wachman",-6.38932,106.94628,SUCCESS
82,Brain Academy,Mataram - Pendidikan,"Jl. Pendidikan No.45, Dasan Agung Baru, Kec. Selaparang, Kota Mataram, Nusa Tenggara Bar. 83126",,BAC Pendidikan,Mataram,Pendidikan,,-8.581648099999999,116.0901385,SUCCESS
83,Brain Academy,Samarinda - Pahlawan,"Jl. Pahlawan No. 10 D&E depan SMK 1 Samarinda. Kelurahan Dadimulya, Kec. Samarinda Ulu, 75242",,BAC Pahlawan,Samarinda,Pahlawan,,-0.4877269999999999,117.147159,SUCCESS
84,Brain Academy,Solo - Adi Sucipto,"Jl. Adi Sucipto No.120, Jajar, Kec. Laweyan, Kota Surakarta, Jawa Tengah 57144",,BAC Adi Sucipto,Solo,Adi Sucipto,,-7.5503719,110.7896553,SUCCESS
85,Brain Academy,Bogor - Metland Cileungsi,"Jl. Kota Taman Metropolitan no. 17D, RT. 004/RW.001, Kelurahan Limusnunggal, Kecamatan Cileungsi, Kabupaten Bogor, Jawa Barat 16820",,BAC Metland Cileungsi,Bogor,Metland Cileungsi,Freddy Bramantio,-6.3977599,106.9726881,SUCCESS
86,Brain Academy,Karawang - Cikampek,"Jl. Ir. Haji Juanda no.88, Kelurahan Cikampek Timur, Kecamatan Cikampek, Kota Karawang, Jawa Barat 41373",,BAC Cikampek,Karawang,Cikampek,,-6.414792,107.465945,SUCCESS
87,Brain Academy,Jayapura - Padang Bulan,"Ruko Warna Warni no. 9, Jl. Raya Sentani - Padang Bulan, Kampung Waena, Kelurahan Kota Baru Distrik Abepura, Kecamatan Heram, Kota Jayapura 99351",,BAC Padang Bulan,Jayapura,Padang Bulan,,-2.6068242,140.6485484,SUCCESS
88,Brain Academy,Surabaya - Ngagel,"Jl. Ngagel Jaya 21B, RT 005/RW 001, Kelurahan Pucang Sewu, Kecamatan Gubeng, Kota Surabaya, Jawa Timur 60283",,BAC Ngagel,Surabaya,Ngagel Surabaya,"Brillin Yapply
Nabilla Ratna
Agus Setiawan",-7.2883956,112.7560839,SUCCESS
89,Brain Academy,Tasikmalaya - Singaparna,"Jl. Doser, Cipakat, Kec. Singaparna, Kabupaten Tasikmalaya, Jawa Barat 46417",,BAC Singaparna,Tasikmalaya,Singaparna,,-7.3522458,108.124254,SUCCESS
90,Brain Academy,Gresik - Usman Sadar,"Jl. Usman Sadar No. 147, Ngipik, Sukorame, Kec. Gresik, Kabupaten Gresik, Jawa Timur. 61116",,BAC Usman Sadar,Gresik,Usman Sadar,,-7.1551719,112.6501317,SUCCESS
91,Brain Academy,Jakarta Timur - Ciracas,"Komplek Ruko 64, Jl. Raya Lap. Tembak - Cibubur No.64, RT.3/RW.2, Cibubur, Kec. Ciracas, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13720",,BAC Ciracas,Jakarta Timur,Ciracas,"Muhammad Asadullah Al Ghozi
Tazkia Khansa Farhani",-6.2126204,106.9434084,SUCCESS
92,Brain Academy,Blitar - Bung Karno,"Jl. Kalimantan RT 003/RW 002, Kelurahan Sananwetan, Kecamatan Sananwetan, Kota Blitar, Jawa Timur 66137",,BAC Bung Karno,Blitar,Bung Karno,,-8.104384,112.1809851,SUCCESS
93,Brain Academy,Tangerang Selatan - BSD Boulevard,"Blok F, BSD City, Ruko Tol Boulevard, Jl. Kapten Soebijanto Djojohadikusumo No.6, RT.: 005/RW.: 010, Rw. Buntu, Kec. Serpong, Kota Tangerang Selatan, Banten 15318",,BAC BSD Boulevard,Tangerang Selatan,BSD Boulevard,"Dian Marhamah
Irsalina Fathimah
Fikri Dwi Firmansah ",-6.302380599999999,106.6688763,SUCCESS
94,Brain Academy,Tangerang Selatan - Pamulang,"Jl. Pajajaran No 2&3, RW.3, Pamulang Barat, Kec. Pamulang, Kota Tangerang Selatan, Banten 15417",,BAC Pamulang,Tangerang Selatan,Pamulang,Belinda Ambarsari Arya Putri,-6.3385897,106.7389373,SUCCESS
95,Brain Academy,Gianyar - Dharma giri,Jl. By Pass Dharma Giri sebelah Utara Pengadilan Agama Gianyar. Kelurahan Gianyar. Kecamatan Gianyar Bali. Bali 80515,,BAC Dharma giri,Gianyar,Dharma giri,,-8.546904399999999,115.314407,SUCCESS
96,Brain Academy,Gowa - Sungguminasa,"Ruko Yasmin Square, Jl. Tumanurung No.15, Kalegowa, Kec. Somba Opu, Kabupaten Gowa, Sulawesi Selatan 92114",,BAC Sungguminasa,Gowa,Sungguminasa,,-5.1989502,119.4492819,SUCCESS
